,schedule_season,schedule_week,schedule_playoff,full_result,spread_favorite,stadium_neutral,weather_temperature,weather_wind_mph,weather_detail,home_favorite,away_favorite
213,2010,15,0,1,-4.5,0,72.0,0.0,Dome,1.0,0.0
214,2010,15,0,0,-5.5,0,67.0,1.0,Sunny,1.0,0.0
215,2010,15,0,1,-14.5,0,32.0,8.0,Sunny,1.0,0.0
216,2010,15,0,0,-3.0,0,33.0,6.0,Sunny,1.0,0.0
217,2010,15,0,1,-8.0,0,55.0,0.0,Rain,1.0,0.0
218,2010,15,0,0,-4.0,0,25.0,9.0,Sunny,1.0,0.0
219,2010,15,0,0,-6.0,0,45.0,2.0,Sunny,0.0,1.0
220,2010,15,0,0,-3.0,0,72.0,0.0,Dome,1.0,0.0
221,2010,15,0,0,-4.0,0,54.0,1.0,Sunny,1.0,0.0
222,2010,15,0,1,-1.0,0,36.0,4.0,Sunny,1.0,0.0
223,2010,15,0,0,-7.0,0,23.0,1.0,Snow,0.0,1.0
224,2010,16,0,1,-14.5,0,27.0,1.0,Sunny,1.0,0.0
225,2010,16,0,1,-7.5,0,72.0,0.0,Dome,0.0,1.0
226,2010,16,0,0,-9.0,0,22.0,1.0,Snow,0.0,1.0
227,2010,16,0,1,-3.0,0,33.0,9.0,Sunny,1.0,0.0
228,2010,16,0,1,-8.0,0,30.0,1.0,Sunny,0.0,1.0
229,2010,16,0,0,-4.0,0,26.0,1.0,Sunny,0.0,1.0
230,2010,16,0,1,-2.5,0,50.0,7.0,Sunny,0.0,1.0
231,2010,16,0,1,-3.0,0,26.0,5.0,Sunny,1.0,0.0
232,2010,16,0,0,-6.5,0,38.0,0.0,Sunny,1.0,0.0
233,2010,16,0,1,-4.0,0,19.0,7.0,Sunny,1.0,0.0
234,2010,16,0,0,-3.5,0,69.0,2.0,Sunny,1.0,0.0
235,2010,16,0,0,-2.5,0,58.0,5.0,Sunny,0.0,1.0
236,2010,16,0,1,-2.5,0,72.0,0.0,Dome,1.0,0.0
237,2010,16,0,1,-6.0,0,51.0,1.0,Sunny,1.0,0.0
238,2010,16,0,0,-2.5,0,72.0,0.0,Dome,1.0,0.0
239,2010,16,0,0,-14.5,0,37.0,1.0,Sunny,1.0,0.0
240,2010,17,0,1,-14.5,0,72.0,0.0,Dome,1.0,0.0
241,2010,17,0,1,-9.5,0,51.0,7.0,Sunny,1.0,0.0
242,2010,17,0,0,-6.5,0,25.0,1.0,Sunny,0.0,1.0
