,schedule_playoff,spread_favorite,stadium_neutral,weather_wind_mph,home_favorite,away_favorite,weather_detail_Dome,weather_detail_Rain,weather_detail_Snow,weather_detail_Sunny
266,1,3.0,1,4.844106463878327,1.0,0.0,0,0,0,1
1562,0,7.0,0,0.0,0.0,1.0,1,0,0,0
958,0,4.0,0,7.0,1.0,0.0,0,0,0,1
869,0,9.5,0,12.0,1.0,0.0,0,0,0,1
1809,0,6.0,0,1.0,1.0,0.0,0,0,0,1
292,0,5.0,0,0.0,1.0,0.0,1,0,0,0
2015,0,7.0,0,2.0,1.0,0.0,0,0,0,1
1355,0,3.5,0,6.0,1.0,0.0,0,0,0,1
2084,0,12.5,0,0.0,1.0,0.0,1,0,0,0
112,0,2.0,0,5.0,1.0,0.0,0,0,0,1
185,0,5.0,0,0.0,1.0,0.0,1,0,0,0
2130,1,2.5,0,16.0,0.0,1.0,0,0,0,1
1996,0,7.0,0,5.0,1.0,0.0,0,0,0,1
1537,0,12.0,0,11.0,1.0,0.0,0,1,0,0
817,0,11.5,0,8.0,1.0,0.0,0,1,0,0
1285,0,9.5,0,5.0,1.0,0.0,0,0,0,1
740,0,1.5,0,8.0,1.0,0.0,0,0,0,1
1278,0,14.0,0,7.0,1.0,0.0,0,0,0,1
237,0,6.0,0,1.0,1.0,0.0,0,0,0,1
210,0,2.5,0,6.0,1.0,0.0,0,0,0,1
1334,1,1.0,1,0.0,1.0,0.0,1,0,0,0
1762,0,6.5,1,0.0,1.0,0.0,0,0,0,1
2056,0,3.0,0,0.0,0.0,1.0,0,0,0,1
217,0,8.0,0,0.0,1.0,0.0,0,1,0,0
1723,0,3.5,0,10.0,0.0,1.0,0,0,0,1
2021,0,2.0,0,0.0,1.0,0.0,1,0,0,0
1687,0,2.5,0,0.0,0.0,1.0,1,0,0,0
633,0,6.5,0,15.0,1.0,0.0,0,0,0,1
1191,0,7.0,0,8.0,1.0,0.0,0,0,0,1
614,0,3.0,0,8.0,1.0,0.0,0,0,0,1
1257,0,6.5,0,0.0,1.0,0.0,1,0,0,0
648,0,4.5,0,8.0,1.0,0.0,0,1,0,0
